frame_id,timestamp_sec,total_count,inference_time_sec,inference_fps,total_count_change,total_count_change_abs,rolling_mean_count_5s,rolling_mean_count_change_5s
0,0.0,151,1.2399535179138184,0.8064818443214449,0.0,0.0,151.0,0.0
1,0.033289653684324,149,0.551837682723999,1.812127064363868,-2.0,2.0,150.0,-1.0
2,0.0665793073686481,164,0.5481994152069092,1.8241537153456573,15.0,15.0,154.66666666666666,4.333333333333333
3,0.0998689610529722,165,0.5462567806243896,1.830640891737704,1.0,1.0,157.25,3.5
4,0.1331586147372963,164,0.551429033279419,1.8134699837128128,-1.0,1.0,158.6,2.6
5,0.1664482684216204,158,0.5663509368896484,1.7656896720113426,-6.0,6.0,158.5,1.1666666666666667
6,0.1997379221059445,163,0.5579860210418701,1.7921595923367444,5.0,5.0,159.14285714285714,1.7142857142857142
7,0.2330275757902686,169,0.553849458694458,1.8055447817123709,6.0,6.0,160.375,2.25
8,0.2663172294745927,172,0.5553603172302246,1.8006327945564211,3.0,3.0,161.66666666666666,2.3333333333333335
9,0.2996068831589168,175,0.5538415908813477,1.805570431084211,3.0,3.0,163.0,2.4
10,0.3328965368432409,168,0.5532593727111816,1.807470508994035,-7.0,7.0,163.45454545454547,1.5454545454545454
11,0.366186190527565,173,0.5513508319854736,1.813727198703759,5.0,5.0,164.25,1.8333333333333333
12,0.3994758442118891,172,0.5546197891235352,1.8030369986983308,-1.0,1.0,164.84615384615384,1.6153846153846154
13,0.4327654978962131,174,0.5505948066711426,1.8162176393306897,2.0,2.0,165.5,1.6428571428571428
14,0.4660551515805373,166,0.5623416900634766,1.7782782562095316,-8.0,8.0,165.53333333333333,1.0
15,0.4993448052648613,167,0.5573842525482178,1.7940944607391698,1.0,1.0,165.625,1.0
16,0.5326344589491855,162,0.5551788806915283,1.8012212545880788,-5.0,5.0,165.41176470588235,0.6470588235294118
17,0.5659241126335095,165,0.5518002510070801,1.8122499911424816,3.0,3.0,165.38888888888889,0.7777777777777778
18,0.5992137663178336,161,0.5556564331054688,1.7996732160755722,-4.0,4.0,165.1578947368421,0.5263157894736842
19,0.6325034200021578,155,0.5576174259185791,1.7933442419821646,-6.0,6.0,164.65,0.2
20,0.6657930736864818,156,0.5569324493408203,1.7955498933193603,1.0,1.0,164.23809523809524,0.23809523809523808
21,0.6990827273708059,159,0.5609309673309326,1.782750566898243,3.0,3.0,164.0,0.36363636363636365
22,0.73237238105513,146,0.5597074031829834,1.7866477990341556,-13.0,13.0,163.2173913043478,-0.21739130434782608
23,0.765662034739454,160,0.55556321144104,1.7999751952728542,14.0,14.0,163.08333333333334,0.375
24,0.7989516884237782,172,0.5608539581298828,1.7829953511149503,12.0,12.0,163.44,0.84
25,0.8322413421081023,162,0.557755708694458,1.7928996232789902,-10.0,10.0,163.3846153846154,0.4230769230769231
26,0.8655309957924263,165,0.5633904933929443,1.774967827337009,3.0,3.0,163.44444444444446,0.5185185185185185
27,0.8988206494767504,165,0.5632400512695312,1.77544192346766,0.0,0.0,163.5,0.5
28,0.9321103031610746,167,0.5633156299591064,1.7752037167379755,2.0,2.0,163.6206896551724,0.5517241379310345
29,0.9653999568453986,163,0.5615592002868652,1.780756150890526,-4.0,4.0,163.6,0.4
30,0.9986896105297228,172,0.5618510246276855,1.7798312295731007,9.0,9.0,163.8709677419355,0.6774193548387096
31,1.0319792642140468,178,0.5628705024719238,1.7766075777791897,6.0,6.0,164.3125,0.84375
32,1.065268917898371,162,0.5620400905609131,1.7792325081330145,-16.0,16.0,164.24242424242425,0.3333333333333333
33,1.0985585715826949,174,0.566993236541748,1.7636894685010398,12.0,12.0,164.52941176470588,0.6764705882352942
34,1.131848225267019,172,0.5657405853271484,1.7675945935922808,-2.0,2.0,164.74285714285713,0.6
35,1.1651378789513431,157,0.5662696361541748,1.765943176454787,-15.0,15.0,164.52777777777777,0.16666666666666666
36,1.1984275326356673,154,0.5661001205444336,1.7664719785579153,-3.0,3.0,164.24324324324326,0.08108108108108109
37,1.2317171863199914,160,0.5702986717224121,1.7534671735773235,6.0,6.0,164.1315789473684,0.23684210526315788
38,1.2650068400043155,154,0.565422773361206,1.7685881204526144,-6.0,6.0,163.87179487179486,0.07692307692307693
39,1.2982964936886394,164,0.5648999214172363,1.7702250648064752,10.0,10.0,163.875,0.325
40,1.3315861473729635,157,0.5789706707000732,1.7272032083953943,-7.0,7.0,163.70731707317074,0.14634146341463414
41,1.3648758010572877,170,0.583843469619751,1.71278784817322,13.0,13.0,163.85714285714286,0.4523809523809524
42,1.3981654547416118,153,0.5658562183380127,1.7672333847229238,-17.0,17.0,163.6046511627907,0.046511627906976744
43,1.431455108425936,160,0.5671370029449463,1.7632423820123635,7.0,7.0,163.52272727272728,0.20454545454545456
44,1.46474476211026,146,0.5664417743682861,1.765406517051522,-14.0,14.0,163.13333333333333,-0.1111111111111111
45,1.498034415794584,149,0.5727527141571045,1.7459541880506964,3.0,3.0,162.82608695652175,-0.043478260869565216
46,1.531324069478908,152,0.586604118347168,1.7047272065147236,3.0,3.0,162.59574468085106,0.02127659574468085
47,1.5646137231632322,146,0.5677478313446045,1.7613453452242822,-6.0,6.0,162.25,-0.10416666666666667
48,1.5979033768475563,151,0.5704574584960938,1.7529790961736502,5.0,5.0,162.0204081632653,0.0
49,1.6311930305318805,156,0.5687563419342041,1.7582221529156747,5.0,5.0,161.9,0.1
50,1.6644826842162046,147,0.5746326446533203,1.7402422387668328,-9.0,9.0,161.6078431372549,-0.0784313725490196
51,1.6977723379005285,159,0.5733137130737305,1.7442457370130895,12.0,12.0,161.55769230769232,0.15384615384615385
52,1.7310619915848526,156,0.5690898895263672,1.7571916465292745,-3.0,3.0,161.45283018867926,0.09433962264150944
53,1.7643516452691768,162,0.5690228939056396,1.757398534769374,6.0,6.0,161.46296296296296,0.2037037037037037
54,1.7976412989535009,160,0.5711896419525146,1.7507320276006233,-2.0,2.0,161.43636363636364,0.16363636363636364
55,1.830930952637825,157,0.5729045867919922,1.745491348916492,-3.0,3.0,161.35714285714286,0.10714285714285714
56,1.8642206063221487,158,0.5735712051391602,1.7434626965929705,1.0,1.0,161.2982456140351,0.12280701754385964
57,1.897510260006473,157,0.5735671520233154,1.7434750167829522,-1.0,1.0,161.22413793103448,0.10344827586206896
58,1.9307999136907967,153,0.5776329040527344,1.7312033178579211,-4.0,4.0,161.08474576271186,0.03389830508474576
59,1.9640895673751213,154,0.5744681358337402,1.740740587027816,1.0,1.0,160.96666666666667,0.05
60,1.9973792210594452,154,0.5783648490905762,1.7290124072588524,0.0,0.0,160.85245901639345,0.04918032786885246
61,2.0306688747437693,148,0.5744881629943848,1.7406799032859697,-6.0,6.0,160.6451612903226,-0.04838709677419355
62,2.0639585284280937,149,0.5755796432495117,1.7373790260447128,1.0,1.0,160.46031746031747,-0.031746031746031744
63,2.0972481821124176,148,0.5763649940490723,1.7350116858673394,-1.0,1.0,160.265625,-0.046875
64,2.130537835796742,141,0.5794923305511475,1.7256483775184968,-7.0,7.0,159.96923076923076,-0.15384615384615385
