frame_id,timestamp_sec,high_or_critical_zone_count,total_zones,zones_high_or_critical,total_count,raw_multi_zone_alert
0,0.0,3,8,"sidewalk_bottom, sidewalk_left, sidewalk_right",151,0
1,0.033289653684324,3,8,"sidewalk_bottom, sidewalk_left, sidewalk_right",149,0
2,0.0665793073686481,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",164,1
3,0.0998689610529722,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",165,1
4,0.1331586147372963,3,8,"sidewalk_bottom, sidewalk_left, sidewalk_right",164,1
5,0.1664482684216204,3,8,"sidewalk_bottom, sidewalk_left, sidewalk_right",158,1
6,0.1997379221059445,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",163,1
7,0.2330275757902686,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",169,1
8,0.2663172294745927,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",172,1
9,0.2996068831589168,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",175,1
10,0.3328965368432409,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",168,1
11,0.366186190527565,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",173,1
12,0.3994758442118891,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",172,1
13,0.4327654978962131,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",174,1
14,0.4660551515805373,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",166,1
15,0.4993448052648613,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",167,1
16,0.5326344589491855,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",162,1
17,0.5659241126335095,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",165,1
18,0.5992137663178336,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",161,1
19,0.6325034200021578,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",155,0
20,0.6657930736864818,3,8,"sidewalk_bottom, sidewalk_right, sidewalk_top",156,0
21,0.6990827273708059,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",159,1
22,0.73237238105513,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",146,0
23,0.765662034739454,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",160,1
24,0.7989516884237782,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",172,1
25,0.8322413421081023,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",162,1
26,0.8655309957924263,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",165,1
27,0.8988206494767504,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",165,1
28,0.9321103031610746,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",167,1
29,0.9653999568453986,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",163,1
30,0.9986896105297228,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",172,1
31,1.0319792642140468,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",178,1
32,1.065268917898371,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",162,1
33,1.0985585715826949,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",174,1
34,1.131848225267019,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",172,1
35,1.1651378789513431,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",157,0
36,1.1984275326356673,3,8,"sidewalk_bottom, sidewalk_left, sidewalk_right",154,0
37,1.2317171863199914,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",160,1
38,1.2650068400043155,3,8,"sidewalk_bottom, sidewalk_left, sidewalk_right",154,0
39,1.2982964936886394,3,8,"sidewalk_bottom, sidewalk_left, sidewalk_right",164,1
40,1.3315861473729635,3,8,"sidewalk_bottom, sidewalk_left, sidewalk_right",157,0
41,1.3648758010572877,3,8,"sidewalk_bottom, sidewalk_left, sidewalk_right",170,1
42,1.3981654547416118,3,8,"sidewalk_bottom, sidewalk_left, sidewalk_right",153,0
43,1.431455108425936,3,8,"sidewalk_bottom, sidewalk_left, sidewalk_right",160,1
44,1.46474476211026,3,8,"sidewalk_bottom, sidewalk_left, sidewalk_right",146,0
45,1.498034415794584,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",149,0
46,1.531324069478908,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",152,0
47,1.5646137231632322,3,8,"sidewalk_bottom, sidewalk_left, sidewalk_right",146,0
48,1.5979033768475563,3,8,"sidewalk_bottom, sidewalk_left, sidewalk_right",151,0
49,1.6311930305318805,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",156,0
50,1.6644826842162046,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",147,0
51,1.6977723379005285,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",159,1
52,1.7310619915848526,3,8,"sidewalk_bottom, sidewalk_left, sidewalk_right",156,0
53,1.7643516452691768,3,8,"sidewalk_bottom, sidewalk_left, sidewalk_right",162,1
54,1.7976412989535009,3,8,"sidewalk_bottom, sidewalk_left, sidewalk_right",160,1
55,1.830930952637825,3,8,"sidewalk_bottom, sidewalk_left, sidewalk_right",157,0
56,1.8642206063221487,3,8,"sidewalk_bottom, sidewalk_left, sidewalk_right",158,1
57,1.897510260006473,4,8,"sidewalk_bottom, sidewalk_left, sidewalk_right, sidewalk_top",157,0
58,1.9307999136907967,3,8,"sidewalk_bottom, sidewalk_left, sidewalk_right",153,0
59,1.9640895673751213,3,8,"sidewalk_bottom, sidewalk_left, sidewalk_right",154,0
60,1.9973792210594452,3,8,"sidewalk_bottom, sidewalk_left, sidewalk_right",154,0
