zone_a,zone_b,best_lag_frames,best_lag_seconds,best_correlation,interpretation
crosswalk_left,crosswalk_main,-64,-2.1305378357967584,0.8763574986298815,crosswalk_main tends to lead crosswalk_left by 2.13s
crosswalk_main,crosswalk_left,64,2.1305378357967584,0.8763574986298814,crosswalk_main tends to lead crosswalk_left by 2.13s
crosswalk_bottom,crosswalk_top,5,0.16644826842162175,0.6241024528559285,crosswalk_bottom tends to lead crosswalk_top by 0.17s
crosswalk_top,crosswalk_bottom,-5,-0.16644826842162175,0.6241024528559284,crosswalk_bottom tends to lead crosswalk_top by 0.17s
sidewalk_bottom,sidewalk_left,-8,-0.2663172294745948,0.593749612054975,sidewalk_left tends to lead sidewalk_bottom by 0.27s
sidewalk_left,sidewalk_bottom,8,0.2663172294745948,0.593749612054975,sidewalk_left tends to lead sidewalk_bottom by 0.27s
sidewalk_right,sidewalk_bottom,0,0.0,0.47596291185779804,sidewalk_right and sidewalk_bottom peak at approximately the same time
sidewalk_bottom,sidewalk_right,0,0.0,0.47596291185779804,sidewalk_bottom and sidewalk_right peak at approximately the same time
sidewalk_right,sidewalk_left,0,0.0,0.4054380646290336,sidewalk_right and sidewalk_left peak at approximately the same time
sidewalk_left,sidewalk_right,0,0.0,0.4054380646290336,sidewalk_left and sidewalk_right peak at approximately the same time
sidewalk_top,sidewalk_right,0,0.0,0.24356617366114205,sidewalk_top and sidewalk_right peak at approximately the same time
sidewalk_right,sidewalk_top,0,0.0,0.24356617366114205,sidewalk_right and sidewalk_top peak at approximately the same time
crosswalk_top,sidewalk_left,-143,-4.760420476858382,0.14474277786897358,sidewalk_left tends to lead crosswalk_top by 4.76s
sidewalk_left,crosswalk_top,143,4.760420476858382,0.14474277786897358,sidewalk_left tends to lead crosswalk_top by 4.76s
sidewalk_top,sidewalk_left,150,4.993448052648652,0.13089369088821476,sidewalk_top tends to lead sidewalk_left by 4.99s
sidewalk_left,sidewalk_top,-150,-4.993448052648652,0.13089369088821473,sidewalk_top tends to lead sidewalk_left by 4.99s
crosswalk_bottom,sidewalk_left,-150,-4.993448052648652,0.12921499335295156,sidewalk_left tends to lead crosswalk_bottom by 4.99s
sidewalk_left,crosswalk_bottom,150,4.993448052648652,0.12921499335295156,sidewalk_left tends to lead crosswalk_bottom by 4.99s
